peakID	Chr	Start	End	Strand	Length
1.1375671.1377434	1	1375671	1377434	.	1764
1.1405882.1408502	1	1405882	1408502	.	2621
1.1439957.1441475	1	1439957	1441475	.	1519
1.1446121.1448530	1	1446121	1448530	.	2410
1.1449713.1450016	1	1449713	1450016	.	304
1.1471362.1472583	1	1471362	1472583	.	1222
1.1475661.1477123	1	1475661	1477123	.	1463
1.1485952.1487289	1	1485952	1487289	.	1338
1.1489801.1491100	1	1489801	1491100	.	1300
1.1508971.1511252	1	1508971	1511252	.	2282
1.1532968.1533496	1	1532968	1533496	.	529
1.1534158.1535604	1	1534158	1535604	.	1447
1.1542263.1543084	1	1542263	1543084	.	822
1.1549252.1552426	1	1549252	1552426	.	3175
1.1555441.1556264	1	1555441	1556264	.	824
1.1562384.1565063	1	1562384	1565063	.	2680
1.1565660.1566254	1	1565660	1566254	.	595
1.1590069.1591079	1	1590069	1591079	.	1011
1.1597105.1597639	1	1597105	1597639	.	535
1.1609993.1610883	1	1609993	1610883	.	891
1.1623718.1624955	1	1623718	1624955	.	1238
1.1655368.1656367	1	1655368	1656367	.	1000
1.1677083.1678248	1	1677083	1678248	.	1166
1.1709078.1715499	1	1709078	1715499	.	6422
1.1788594.1789188	1	1788594	1789188	.	595
1.1821152.1824197	1	1821152	1824197	.	3046
1.1837433.1839133	1	1837433	1839133	.	1701
1.1839591.1841729	1	1839591	1841729	.	2139
1.1849935.1851461	1	1849935	1851461	.	1527
1.1875058.1876092	1	1875058	1876092	.	1035
1.1891011.1892089	1	1891011	1892089	.	1079
1.1897563.1898244	1	1897563	1898244	.	682
1.1927533.1928252	1	1927533	1928252	.	720
1.1934807.1935761	1	1934807	1935761	.	955
1.1975727.1976885	1	1975727	1976885	.	1159
1.1977673.1978255	1	1977673	1978255	.	583
1.1980813.1982798	1	1980813	1982798	.	1986
1.2022703.2023713	1	2022703	2023713	.	1011
1.2039741.2040627	1	2039741	2040627	.	887
1.2043605.2044424	1	2043605	2044424	.	820
1.2056338.2056501	1	2056338	2056501	.	164
1.2063453.2065628	1	2063453	2065628	.	2176
1.2066573.2067474	1	2066573	2067474	.	902
1.2070998.2071763	1	2070998	2071763	.	766
1.2080075.2080759	1	2080075	2080759	.	685
1.2082157.2083548	1	2082157	2083548	.	1392
1.2105164.2106329	1	2105164	2106329	.	1166
1.2120572.2122527	1	2120572	2122527	.	1956
1.2125944.2127629	1	2125944	2127629	.	1686
1.2129876.2131395	1	2129876	2131395	.	1520
1.2134581.2137725	1	2134581	2137725	.	3145
1.2143306.2145199	1	2143306	2145199	.	1894
1.2157857.2159886	1	2157857	2159886	.	2030
1.2160176.2166741	1	2160176	2166741	.	6566
1.2169185.2169574	1	2169185	2169574	.	390
1.2177367.2178816	1	2177367	2178816	.	1450
1.2186656.2188238	1	2186656	2188238	.	1583
1.2191270.2191758	1	2191270	2191758	.	489
1.2207150.2207707	1	2207150	2207707	.	558
1.2209555.2211522	1	2209555	2211522	.	1968
1.2221178.2222972	1	2221178	2222972	.	1795
1.2231180.2233931	1	2231180	2233931	.	2752
1.2241694.2244216	1	2241694	2244216	.	2523
1.2244753.2246204	1	2244753	2246204	.	1452
1.2253517.2254389	1	2253517	2254389	.	873
1.2312723.2313916	1	2312723	2313916	.	1194
1.2322329.2324212	1	2322329	2324212	.	1884
1.2343034.2346852	1	2343034	2346852	.	3819
1.2456867.2459187	1	2456867	2459187	.	2321
1.2460335.2461979	1	2460335	2461979	.	1645
1.2470529.2471357	1	2470529	2471357	.	829
1.2474420.2476948	1	2474420	2476948	.	2529
1.2477004.2481240	1	2477004	2481240	.	4237
1.2487086.2488310	1	2487086	2488310	.	1225
1.2491831.2492795	1	2491831	2492795	.	965
1.2492973.2494083	1	2492973	2494083	.	1111
1.2509161.2510543	1	2509161	2510543	.	1383
1.2516303.2519146	1	2516303	2519146	.	2844
1.2573503.2575472	1	2573503	2575472	.	1970
1.2718117.2718582	1	2718117	2718582	.	466
1.2982484.2983530	1	2982484	2983530	.	1047
1.2986269.2987035	1	2986269	2987035	.	767
1.3010240.3010848	1	3010240	3010848	.	609
1.3086712.3088583	1	3086712	3088583	.	1872
1.3102866.3104596	1	3102866	3104596	.	1731
1.3105373.3105865	1	3105373	3105865	.	493
1.3138796.3139349	1	3138796	3139349	.	554
1.3200353.3200800	1	3200353	3200800	.	448
1.3229053.3230524	1	3229053	3230524	.	1472
1.3233043.3233745	1	3233043	3233745	.	703
1.3236158.3237066	1	3236158	3237066	.	909
1.3309695.3310252	1	3309695	3310252	.	558
1.3331568.3332590	1	3331568	3332590	.	1023
1.3340881.3341875	1	3340881	3341875	.	995
1.3347921.3348468	1	3347921	3348468	.	548
1.3369459.3372157	1	3369459	3372157	.	2699
1.3374101.3375678	1	3374101	3375678	.	1578
1.3387231.3388975	1	3387231	3388975	.	1745
1.3400327.3400854	1	3400327	3400854	.	528
1.3407707.3408506	1	3407707	3408506	.	800
1.3447023.3448358	1	3447023	3448358	.	1336
1.3458413.3459166	1	3458413	3459166	.	754
1.3481638.3482881	1	3481638	3482881	.	1244
1.3525203.3526889	1	3525203	3526889	.	1687
1.3527562.3529207	1	3527562	3529207	.	1646
1.3531619.3532097	1	3531619	3532097	.	479
1.3535021.3536547	1	3535021	3536547	.	1527
1.3537583.3538283	1	3537583	3538283	.	701
1.3540610.3541839	1	3540610	3541839	.	1230
1.3566161.3567001	1	3566161	3567001	.	841
1.3585208.3586033	1	3585208	3586033	.	826
1.3593143.3594571	1	3593143	3594571	.	1429
1.3594752.3596022	1	3594752	3596022	.	1271
1.3600469.3601213	1	3600469	3601213	.	745
1.3604801.3605604	1	3604801	3605604	.	804
1.3611825.3612909	1	3611825	3612909	.	1085
1.3633910.3635373	1	3633910	3635373	.	1464
1.3640819.3641547	1	3640819	3641547	.	729
1.3643579.3644491	1	3643579	3644491	.	913
1.3648580.3650299	1	3648580	3650299	.	1720
1.3662945.3664285	1	3662945	3664285	.	1341
1.3687835.3693121	1	3687835	3693121	.	5287
1.3709952.3710971	1	3709952	3710971	.	1020
1.3712399.3713714	1	3712399	3713714	.	1316
1.3717926.3718479	1	3717926	3718479	.	554
1.3727642.3728391	1	3727642	3728391	.	750
1.3773157.3774536	1	3773157	3774536	.	1380
1.3797057.3798097	1	3797057	3798097	.	1041
1.3807129.3808045	1	3807129	3808045	.	917
1.3815945.3818422	1	3815945	3818422	.	2478
1.3827291.3827928	1	3827291	3827928	.	638
1.4044405.4044974	1	4044405	4044974	.	570
1.4663292.4664126	1	4663292	4664126	.	835
1.4698030.4698993	1	4698030	4698993	.	964
1.4712386.4713456	1	4712386	4713456	.	1071
1.4716038.4717089	1	4716038	4717089	.	1052
1.4796048.4796940	1	4796048	4796940	.	893
1.5569881.5570322	1	5569881	5570322	.	442
1.5574589.5575087	1	5574589	5575087	.	499
1.5777139.5778190	1	5777139	5778190	.	1052
1.5805720.5806520	1	5805720	5806520	.	801
1.5830720.5831930	1	5830720	5831930	.	1211
1.5907303.5907800	1	5907303	5907800	.	498
1.5953707.5953971	1	5953707	5953971	.	265
1.6009274.6009935	1	6009274	6009935	.	662
1.6035029.6035999	1	6035029	6035999	.	971
1.6040244.6041337	1	6040244	6041337	.	1094
1.6052031.6052979	1	6052031	6052979	.	949
1.6069168.6069814	1	6069168	6069814	.	647
1.6074520.6075197	1	6074520	6075197	.	678
1.6085428.6089038	1	6085428	6089038	.	3611
1.6094050.6095015	1	6094050	6095015	.	966
1.6101079.6101925	1	6101079	6101925	.	847
1.6112418.6113408	1	6112418	6113408	.	991
1.6116062.6117332	1	6116062	6117332	.	1271
1.6123544.6124377	1	6123544	6124377	.	834
1.6168856.6169628	1	6168856	6169628	.	773
1.6183177.6183705	1	6183177	6183705	.	529
1.6187505.6188454	1	6187505	6188454	.	950
1.6208008.6209386	1	6208008	6209386	.	1379
1.6221630.6222127	1	6221630	6222127	.	498
1.6231583.6232191	1	6231583	6232191	.	609
1.6258960.6261033	1	6258960	6261033	.	2074
1.6264786.6267314	1	6264786	6267314	.	2529
1.6268695.6270240	1	6268695	6270240	.	1546
1.6294614.6296634	1	6294614	6296634	.	2021
1.6305161.6305834	1	6305161	6305834	.	674
1.6305947.6307371	1	6305947	6307371	.	1425
1.6308949.6310268	1	6308949	6310268	.	1320
1.6319520.6320406	1	6319520	6320406	.	887
1.6335993.6337367	1	6335993	6337367	.	1375
1.6340861.6341441	1	6340861	6341441	.	581
1.6403145.6404188	1	6403145	6404188	.	1044
1.6407945.6409448	1	6407945	6409448	.	1504
1.6418926.6420169	1	6418926	6420169	.	1244
1.6422880.6423743	1	6422880	6423743	.	864
1.6451946.6454562	1	6451946	6454562	.	2617
1.6461835.6462098	1	6461835	6462098	.	264
1.6464669.6465281	1	6464669	6465281	.	613
1.6474175.6474943	1	6474175	6474943	.	769
1.6484790.6485623	1	6484790	6485623	.	834
1.6498033.6498731	1	6498033	6498731	.	699
1.6500105.6501677	1	6500105	6501677	.	1573
1.6504881.6505653	1	6504881	6505653	.	773
1.6508165.6509905	1	6508165	6509905	.	1741
1.6514534.6515842	1	6514534	6515842	.	1309
1.6525504.6526741	1	6525504	6526741	.	1238
1.6535356.6536334	1	6535356	6536334	.	979
1.6545800.6547149	1	6545800	6547149	.	1350
1.6549279.6551890	1	6549279	6551890	.	2612
1.6557586.6557905	1	6557586	6557905	.	320
1.6562071.6563201	1	6562071	6563201	.	1131
1.6566638.6567971	1	6566638	6567971	.	1334
1.6568732.6570507	1	6568732	6570507	.	1776
1.6583627.6584201	1	6583627	6584201	.	575
1.6613615.6614959	1	6613615	6614959	.	1345
1.6639367.6642848	1	6639367	6642848	.	3482
1.6648739.6650210	1	6648739	6650210	.	1472
1.6651150.6652145	1	6651150	6652145	.	996
1.6660517.6664592	1	6660517	6664592	.	4076
1.6672801.6674896	1	6672801	6674896	.	2096
1.6684484.6686245	1	6684484	6686245	.	1762
1.6760960.6762430	1	6760960	6762430	.	1471
1.6779976.6780490	1	6779976	6780490	.	515
1.6787405.6787985	1	6787405	6787985	.	581
1.6795011.6795953	1	6795011	6795953	.	943
1.6802874.6804584	1	6802874	6804584	.	1711
1.6844116.6846843	1	6844116	6846843	.	2728
1.6972174.6973350	1	6972174	6973350	.	1177
1.7021898.7024494	1	7021898	7024494	.	2597
1.7130224.7131049	1	7130224	7131049	.	826
1.7177482.7178266	1	7177482	7178266	.	785
1.7267787.7268379	1	7267787	7268379	.	593
1.7359121.7359981	1	7359121	7359981	.	861
1.7461893.7462472	1	7461893	7462472	.	580
1.7504007.7504752	1	7504007	7504752	.	746
1.7513927.7514689	1	7513927	7514689	.	763
1.7538822.7539372	1	7538822	7539372	.	551
1.7560561.7561583	1	7560561	7561583	.	1023
1.7565341.7566523	1	7565341	7566523	.	1183
1.7576426.7577097	1	7576426	7577097	.	672
1.7601771.7602057	1	7601771	7602057	.	287
1.7609229.7609830	1	7609229	7609830	.	602
1.7611741.7613496	1	7611741	7613496	.	1756
1.7614488.7615477	1	7614488	7615477	.	990
1.7621153.7622017	1	7621153	7622017	.	865
1.7668685.7669610	1	7668685	7669610	.	926
1.7676348.7676834	1	7676348	7676834	.	487
1.7706859.7707942	1	7706859	7707942	.	1084
1.7708824.7709520	1	7708824	7709520	.	697
1.7727396.7728230	1	7727396	7728230	.	835
1.7729282.7730145	1	7729282	7730145	.	864
1.7739905.7741280	1	7739905	7741280	.	1376
1.7763828.7765240	1	7763828	7765240	.	1413
1.7830742.7832486	1	7830742	7832486	.	1745
1.7843306.7844637	1	7843306	7844637	.	1332
1.7846788.7847106	1	7846788	7847106	.	319
1.7870526.7870701	1	7870526	7870701	.	176
1.7916366.7916730	1	7916366	7916730	.	365
1.7959625.7960324	1	7959625	7960324	.	700
1.7962597.7963081	1	7962597	7963081	.	485
1.8002049.8003769	1	8002049	8003769	.	1721
1.8013799.8014673	1	8013799	8014673	.	875
1.8020804.8022258	1	8020804	8022258	.	1455
1.8035075.8035651	1	8035075	8035651	.	577
1.8042251.8042785	1	8042251	8042785	.	535
1.8062436.8063036	1	8062436	8063036	.	601
1.8064235.8065836	1	8064235	8065836	.	1602
1.8085274.8087790	1	8085274	8087790	.	2517
1.8137183.8137804	1	8137183	8137804	.	622
1.8164505.8165339	1	8164505	8165339	.	835
1.8166933.8167447	1	8166933	8167447	.	515
1.8180817.8183190	1	8180817	8183190	.	2374
1.8187173.8187630	1	8187173	8187630	.	458
1.8276546.8277992	1	8276546	8277992	.	1447
1.8278305.8279190	1	8278305	8279190	.	886
1.8284660.8285602	1	8284660	8285602	.	943
1.8341963.8342814	1	8341963	8342814	.	852
1.8342986.8343749	1	8342986	8343749	.	764
1.8367748.8368122	1	8367748	8368122	.	375
1.8374326.8375143	1	8374326	8375143	.	818
1.8377763.8378857	1	8377763	8378857	.	1095
1.8408864.8409447	1	8408864	8409447	.	584
1.8455413.8456397	1	8455413	8456397	.	985
1.8469025.8469971	1	8469025	8469971	.	947
1.8482698.8485242	1	8482698	8485242	.	2545
1.8487126.8488370	1	8487126	8488370	.	1245
1.8498663.8499769	1	8498663	8499769	.	1107
1.8536131.8536653	1	8536131	8536653	.	523
1.8585391.8586602	1	8585391	8586602	.	1212
1.8621234.8621517	1	8621234	8621517	.	284
1.8689326.8690388	1	8689326	8690388	.	1063
1.8720341.8721071	1	8720341	8721071	.	731
1.8761113.8761766	1	8761113	8761766	.	654
1.8762935.8763968	1	8762935	8763968	.	1034
1.8772409.8773279	1	8772409	8773279	.	871
1.8876529.8878607	1	8876529	8878607	.	2079
1.8904507.8904961	1	8904507	8904961	.	455
1.8908545.8909760	1	8908545	8909760	.	1216
1.8917654.8920580	1	8917654	8920580	.	2927
1.8922481.8923289	1	8922481	8923289	.	809
1.8933109.8934507	1	8933109	8934507	.	1399
1.8936553.8939704	1	8936553	8939704	.	3152
1.8978035.8978533	1	8978035	8978533	.	499
1.8985613.8985884	1	8985613	8985884	.	272
1.9022714.9023428	1	9022714	9023428	.	715
1.9047753.9048468	1	9047753	9048468	.	716
1.9064814.9065748	1	9064814	9065748	.	935
1.9067668.9068274	1	9067668	9068274	.	607
1.9070164.9070496	1	9070164	9070496	.	333
1.9127177.9127669	1	9127177	9127669	.	493
1.9129496.9130099	1	9129496	9130099	.	604
1.9134896.9135478	1	9134896	9135478	.	583
1.9143233.9143837	1	9143233	9143837	.	605
1.9161548.9162042	1	9161548	9162042	.	495
1.9169742.9171576	1	9169742	9171576	.	1835
1.9181599.9182764	1	9181599	9182764	.	1166
1.9188077.9190014	1	9188077	9190014	.	1938
1.9202272.9202921	1	9202272	9202921	.	650
1.9203245.9203676	1	9203245	9203676	.	432
1.9222906.9224439	1	9222906	9224439	.	1534
1.9234075.9234537	1	9234075	9234537	.	463
1.9240991.9243190	1	9240991	9243190	.	2200
1.9292962.9295596	1	9292962	9295596	.	2635
1.9299437.9300422	1	9299437	9300422	.	986
1.9309682.9311015	1	9309682	9311015	.	1334
1.9326161.9326433	1	9326161	9326433	.	273
1.9326805.9327694	1	9326805	9327694	.	890
1.9334997.9336251	1	9334997	9336251	.	1255
1.9339241.9340131	1	9339241	9340131	.	891
1.9340495.9341162	1	9340495	9341162	.	668
1.9351725.9354386	1	9351725	9354386	.	2662
1.9400229.9401686	1	9400229	9401686	.	1458
1.9422414.9423582	1	9422414	9423582	.	1169
1.9431488.9432298	1	9431488	9432298	.	811
1.9459711.9461160	1	9459711	9461160	.	1450
1.9470489.9471333	1	9470489	9471333	.	845
1.9485442.9487024	1	9485442	9487024	.	1583
1.9488444.9489566	1	9488444	9489566	.	1123
1.9492575.9493278	1	9492575	9493278	.	704
1.9498793.9499841	1	9498793	9499841	.	1049
1.9515878.9516266	1	9515878	9516266	.	389
1.9533139.9533558	1	9533139	9533558	.	420
1.9550587.9551589	1	9550587	9551589	.	1003
1.9555058.9555833	1	9555058	9555833	.	776
1.9589286.9589974	1	9589286	9589974	.	689
1.9598868.9601281	1	9598868	9601281	.	2414
1.9648267.9650024	1	9648267	9650024	.	1758
1.9650170.9654609	1	9650170	9654609	.	4440
1.9675277.9676073	1	9675277	9676073	.	797
1.9686692.9688024	1	9686692	9688024	.	1333
1.9689268.9691162	1	9689268	9691162	.	1895
1.9703773.9705220	1	9703773	9705220	.	1448
1.9711315.9713395	1	9711315	9713395	.	2081
1.9713511.9715031	1	9713511	9715031	.	1521
1.9747044.9749828	1	9747044	9749828	.	2785
1.9762091.9762607	1	9762091	9762607	.	517
1.9764493.9765157	1	9764493	9765157	.	665
1.9776961.9779792	1	9776961	9779792	.	2832
1.9780866.9782304	1	9780866	9782304	.	1439
1.9784574.9785503	1	9784574	9785503	.	930
1.9790379.9791359	1	9790379	9791359	.	981
1.9797168.9797614	1	9797168	9797614	.	447
1.9847831.9848173	1	9847831	9848173	.	343
1.9868933.9869598	1	9868933	9869598	.	666
1.9882729.9886105	1	9882729	9886105	.	3377
1.9895508.9896619	1	9895508	9896619	.	1112
1.9927301.9928167	1	9927301	9928167	.	867
1.9934735.9935598	1	9934735	9935598	.	864
1.9952875.9953687	1	9952875	9953687	.	813
1.9960210.9961046	1	9960210	9961046	.	837
1.9969042.9971461	1	9969042	9971461	.	2420
1.9989345.9989909	1	9989345	9989909	.	565
1.10002441.10004006	1	10002441	10004006	.	1566
1.10010141.10011594	1	10010141	10011594	.	1454
1.10092271.10094032	1	10092271	10094032	.	1762
1.10125309.10125709	1	10125309	10125709	.	401
1.10133764.10135123	1	10133764	10135123	.	1360
1.10212917.10213423	1	10212917	10213423	.	507
1.10249521.10250076	1	10249521	10250076	.	556
1.10268564.10269046	1	10268564	10269046	.	483
1.10269858.10272545	1	10269858	10272545	.	2688
1.10398108.10398517	1	10398108	10398517	.	410
1.10399842.10400114	1	10399842	10400114	.	273
1.10437255.10437922	1	10437255	10437922	.	668
1.10438271.10438999	1	10438271	10438999	.	729
1.10445151.10445620	1	10445151	10445620	.	470
1.10447778.10449002	1	10447778	10449002	.	1225
1.10458164.10460672	1	10458164	10460672	.	2509
1.10474811.10475766	1	10474811	10475766	.	956
1.10488039.10488524	1	10488039	10488524	.	486
1.10489846.10491462	1	10489846	10491462	.	1617
1.10531649.10533063	1	10531649	10533063	.	1415
1.10534471.10535998	1	10534471	10535998	.	1528
1.10544314.10545232	1	10544314	10545232	.	919
1.10554240.10555568	1	10554240	10555568	.	1329
1.10567273.10567940	1	10567273	10567940	.	668
1.10570839.10571466	1	10570839	10571466	.	628
1.10575543.10576230	1	10575543	10576230	.	688
1.10590153.10591183	1	10590153	10591183	.	1031
1.10711486.10712082	1	10711486	10712082	.	597
1.10723245.10724284	1	10723245	10724284	.	1040
1.10727979.10729215	1	10727979	10729215	.	1237
1.10739180.10740202	1	10739180	10740202	.	1023
1.10751497.10752851	1	10751497	10752851	.	1355
1.10753831.10755431	1	10753831	10755431	.	1601
1.10763842.10765320	1	10763842	10765320	.	1479
1.10776348.10777144	1	10776348	10777144	.	797
1.10815943.10816751	1	10815943	10816751	.	809
1.10926643.10927682	1	10926643	10927682	.	1040
1.10933333.10933516	1	10933333	10933516	.	184
1.10969829.10970361	1	10969829	10970361	.	533
1.11001977.11002620	1	11001977	11002620	.	644
1.11020811.11021689	1	11020811	11021689	.	879
1.11024828.11026524	1	11024828	11026524	.	1697
1.11035589.11036093	1	11035589	11036093	.	505
1.11039487.11040854	1	11039487	11040854	.	1368
1.11071775.11073564	1	11071775	11073564	.	1790
1.11097584.11098434	1	11097584	11098434	.	851
1.11118872.11121313	1	11118872	11121313	.	2442
1.11129334.11130161	1	11129334	11130161	.	828
1.11159009.11160573	1	11159009	11160573	.	1565
1.11301703.11302187	1	11301703	11302187	.	485
1.11322166.11323255	1	11322166	11323255	.	1090
1.11332472.11334135	1	11332472	11334135	.	1664
1.11380038.11380612	1	11380038	11380612	.	575
1.11397356.11398035	1	11397356	11398035	.	680
1.11424057.11424648	1	11424057	11424648	.	592
1.11538401.11540022	1	11538401	11540022	.	1622
1.11540066.11540679	1	11540066	11540679	.	614
1.11610633.11611163	1	11610633	11611163	.	531
1.11618255.11618939	1	11618255	11618939	.	685
1.11623392.11624735	1	11623392	11624735	.	1344
1.11695862.11696332	1	11695862	11696332	.	471
1.11702242.11703093	1	11702242	11703093	.	852
1.11705673.11706507	1	11705673	11706507	.	835
1.11709921.11711461	1	11709921	11711461	.	1541
1.11723615.11725517	1	11723615	11725517	.	1903
1.11730773.11731192	1	11730773	11731192	.	420
1.11740103.11742116	1	11740103	11742116	.	2014
1.11771258.11771619	1	11771258	11771619	.	362
1.11779386.11780250	1	11779386	11780250	.	865
1.11789368.11791029	1	11789368	11791029	.	1662
1.11795438.11797518	1	11795438	11797518	.	2081
1.11798271.11799314	1	11798271	11799314	.	1044
1.11808829.11809795	1	11808829	11809795	.	967
1.11844299.11845834	1	11844299	11845834	.	1536
1.11847323.11848546	1	11847323	11848546	.	1224
1.11850396.11851901	1	11850396	11851901	.	1506
1.11857491.11858947	1	11857491	11858947	.	1457
1.11862735.11864167	1	11862735	11864167	.	1433
1.11864653.11867017	1	11864653	11867017	.	2365
1.11874707.11875500	1	11874707	11875500	.	794
1.11897871.11899012	1	11897871	11899012	.	1142
1.11902066.11903444	1	11902066	11903444	.	1379
1.11910847.11911954	1	11910847	11911954	.	1108
1.11918980.11919784	1	11918980	11919784	.	805
1.11925664.11925964	1	11925664	11925964	.	301
1.11942875.11943751	1	11942875	11943751	.	877
1.11953757.11954398	1	11953757	11954398	.	642
1.11967351.11970800	1	11967351	11970800	.	3450
1.11973431.11974438	1	11973431	11974438	.	1008
1.11985638.11987095	1	11985638	11987095	.	1458
1.11994054.11995439	1	11994054	11995439	.	1386
1.12020722.12021592	1	12020722	12021592	.	871
1.12039245.12041056	1	12039245	12041056	.	1812
1.12042011.12042514	1	12042011	12042514	.	504
1.12043245.12044937	1	12043245	12044937	.	1693
1.12065280.12066117	1	12065280	12066117	.	838
1.12078913.12080835	1	12078913	12080835	.	1923
1.12090807.12092000	1	12090807	12092000	.	1194
1.12111819.12112864	1	12111819	12112864	.	1046
1.12117418.12118133	1	12117418	12118133	.	716
1.12139294.12139936	1	12139294	12139936	.	643
1.12147627.12148557	1	12147627	12148557	.	931
1.12166801.12167278	1	12166801	12167278	.	478
1.12178597.12179062	1	12178597	12179062	.	466
1.12184741.12186508	1	12184741	12186508	.	1768
1.12193032.12193525	1	12193032	12193525	.	494
1.12200955.12201654	1	12200955	12201654	.	700
1.12203103.12204544	1	12203103	12204544	.	1442
1.12210310.12211270	1	12210310	12211270	.	961
1.12212989.12213849	1	12212989	12213849	.	861
1.12221371.12222860	1	12221371	12222860	.	1490
1.12226588.12229351	1	12226588	12229351	.	2764
1.12233222.12236046	1	12233222	12236046	.	2825
1.12238786.12239818	1	12238786	12239818	.	1033
1.12240013.12242117	1	12240013	12242117	.	2105
1.12243891.12246368	1	12243891	12246368	.	2478
1.12256407.12257523	1	12256407	12257523	.	1117
1.12268264.12270593	1	12268264	12270593	.	2330
1.12289547.12290874	1	12289547	12290874	.	1328
1.12290881.12291404	1	12290881	12291404	.	524
1.12436718.12437143	1	12436718	12437143	.	426
1.12495494.12496340	1	12495494	12496340	.	847
1.12570224.12571214	1	12570224	12571214	.	991
1.12600099.12600796	1	12600099	12600796	.	698
1.12655653.12656942	1	12655653	12656942	.	1290
1.12663887.12664944	1	12663887	12664944	.	1058
1.12675108.12676800	1	12675108	12676800	.	1693
1.12677844.12680915	1	12677844	12680915	.	3072
1.13991968.13992577	1	13991968	13992577	.	610
1.14026106.14027620	1	14026106	14027620	.	1515
1.14050077.14050912	1	14050077	14050912	.	836
1.14075084.14076719	1	14075084	14076719	.	1636
1.14137496.14138355	1	14137496	14138355	.	860
1.14139894.14140748	1	14139894	14140748	.	855
1.14924560.14926460	1	14924560	14926460	.	1901
1.15058167.15059091	1	15058167	15059091	.	925
1.15065849.15066668	1	15065849	15066668	.	820
1.15082076.15082936	1	15082076	15082936	.	861
1.15103751.15104827	1	15103751	15104827	.	1077
1.15241810.15242411	1	15241810	15242411	.	602
1.15250085.15251566	1	15250085	15251566	.	1482
1.15255916.15256638	1	15255916	15256638	.	723
1.15294907.15295948	1	15294907	15295948	.	1042
1.15296728.15297070	1	15296728	15297070	.	343
1.15322644.15323649	1	15322644	15323649	.	1006
1.15342882.15343370	1	15342882	15343370	.	489
1.15372848.15373571	1	15372848	15373571	.	724
1.15426428.15427427	1	15426428	15427427	.	1000
1.15438616.15439169	1	15438616	15439169	.	554
1.15454975.15455773	1	15454975	15455773	.	799
1.15464215.15464945	1	15464215	15464945	.	731
1.15473453.15473869	1	15473453	15473869	.	417
1.15478653.15481606	1	15478653	15481606	.	2954
1.15494879.15495579	1	15494879	15495579	.	701
1.15503071.15504819	1	15503071	15504819	.	1749
1.15505373.15506144	1	15505373	15506144	.	772
1.15544901.15545432	1	15544901	15545432	.	532
1.15572404.15573029	1	15572404	15573029	.	626
1.15573531.15574398	1	15573531	15574398	.	868
1.15586825.15588721	1	15586825	15588721	.	1897
1.15598839.15599487	1	15598839	15599487	.	649
1.15601846.15603081	1	15601846	15603081	.	1236
1.15649756.15650679	1	15649756	15650679	.	924
